dicofre;designacao;codigo;lat;long;area;pop;site;district;parish;nuts3;nuts2
1204;Campo Maior;CMR;39.016667;-7.066667;247.20;8042;http://www.cm-campo-maior.pt/;Portalegre;3;Alto Alentejo;Alentejo
1205;Castelo de Vide;CVD;39.416667;-7.45;264.91;3116;https://cm-castelo-vide.pt/;Portalegre;4;Alto Alentejo;Alentejo
1206;Crato;CRT;39.283333;-7.65;398.07;3225;http://www.cm-crato.pt;Portalegre;4;Alto Alentejo;Alentejo
1207;Elvas;ELV;38.866667;-7.166667;631.29;20753;http://www.cm-elvas.pt;Portalegre;7;Alto Alentejo;Alentejo
1208;Fronteira;FTR;39.05;-7.65;248.60;2858;http://www.cm-fronteira.pt;Portalegre;3;Alto Alentejo;Alentejo
1209;Gavião;GAV;39.466667;-7.933333;294.59;3394;http://www.cm-gaviao.pt/;Portalegre;4;Alto Alentejo;Alentejo
1210;Marvão;MRV;39.4;-7.366667;154.90;3021;https://www.cm-marvao.pt/;Portalegre;4;Alto Alentejo;Alentejo
1211;Monforte;MFT;39.052222;-7.438056;420.25;2992;http://www.cm-monforte.pt/;Portalegre;4;Alto Alentejo;Alentejo
1212;Nisa;NIS;39.51540;-7.64907;575.68;5951;http://www.cm-nisa.pt;Portalegre;7;Alto Alentejo;Alentejo
1213;Ponte de Sor;PSR;39.24910;-8.00877;839.71;15249;http://www.cm-pontedesor.pt/;Portalegre;5;Alto Alentejo;Alentejo
1214;Portalegre;PTG;39.283333;-7.433333;447.14;22368;http://www.cm-portalegre.pt;Portalegre;7;Alto Alentejo;Alentejo
1215;Sousel;SSL;38.9525;-7.676389;279.32;4360;http://www.cm-sousel.pt;Portalegre;4;Alto Alentejo;Alentejo
1301;Amarante;AMT;41.269444;-8.078333;301.33;56264;http://www.cm-amarante.pt/;Porto;26;Tâmega e Sousa;Norte
1302;Baião;BAO;41.166667;-8.033333;174.53;20522;http://www.cm-baiao.pt/;Porto;14;Tâmega e Sousa;Norte
1303;Felgueiras;FLG;41.366667;-8.183333;115.74;58065;http://www.cm-felgueiras.pt/;Porto;20;Tâmega e Sousa;Norte
1304;Gondomar;GDM;41.15;-8.533333;131.86;168027;http://www.cm-gondomar.pt/;Porto;7;Área Metropolitana do Porto;Norte
1305;Lousada;LOU;41.283333;-8.283333;96.08;47387;http://www.cm-lousada.pt/;Porto;15;Tâmega e Sousa;Norte
